Date,Value,Category_Alcohol Accidents,Category_Escape Accidents,AccidentType_injured and killed,AccidentType_subtotal
2001-03,426.0,0,0,0,0
2001-02,343.0,0,0,0,0
2001-01,354.0,0,0,0,0
2002-12,304.0,0,0,0,0
2002-11,448.0,0,0,0,0
2002-10,467.0,0,0,0,0
2002-09,509.0,0,0,0,0
2002-08,479.0,0,0,0,0
2002-07,711.0,0,0,0,0
2002-06,675.0,0,0,0,0
2002-05,537.0,0,0,0,0
2002-04,432.0,0,0,0,0
2002-03,414.0,0,0,0,0
2002-02,316.0,0,0,0,0
2002-01,328.0,0,0,0,0
2003-12,383.0,0,0,0,0
2003-11,359.0,0,0,0,0
2003-10,466.0,0,0,0,0
2003-09,452.0,0,0,0,0
2003-08,461.0,0,0,0,0
2003-07,538.0,0,0,0,0
2003-06,566.0,0,0,0,0
2003-05,510.0,0,0,0,0
2003-04,429.0,0,0,0,0
2003-03,374.0,0,0,0,0
2003-02,232.0,0,0,0,0
2003-01,282.0,0,0,0,0
2004-12,416.0,0,0,0,0
2004-11,360.0,0,0,0,0
2004-10,465.0,0,0,0,0
2004-09,541.0,0,0,0,0
2004-08,584.0,0,0,0,0
2004-07,646.0,0,0,0,0
2004-06,491.0,0,0,0,0
2004-05,476.0,0,0,0,0
2004-04,388.0,0,0,0,0
2004-03,321.0,0,0,0,0
2004-02,240.0,0,0,0,0
2004-01,286.0,0,0,0,0
2005-12,487.0,0,0,0,0
2005-11,496.0,0,0,0,0
2005-10,451.0,0,0,0,0
2005-09,678.0,0,0,0,0
2005-08,462.0,0,0,0,0
2005-07,558.0,0,0,0,0
2005-06,627.0,0,0,0,0
2005-05,521.0,0,0,0,0
2005-04,422.0,0,0,0,0
2005-03,299.0,0,0,0,0
2005-02,229.0,0,0,0,0
2005-01,244.0,0,0,0,0
2006-12,386.0,0,0,0,0
2006-11,384.0,0,0,0,0
2006-10,500.0,0,0,0,0
2006-09,407.0,0,0,0,0
2006-08,422.0,0,0,0,0
2006-07,671.0,0,0,0,0
2006-06,406.0,0,0,0,0
2006-05,471.0,0,0,0,0
2006-04,301.0,0,0,0,0
2006-03,275.0,0,0,0,0
2006-02,237.0,0,0,0,0
2006-01,291.0,0,0,0,0
2007-12,333.0,0,0,0,0
2007-11,324.0,0,0,0,0
2007-10,405.0,0,0,0,0
2007-09,385.0,0,0,0,0
2007-08,344.0,0,0,0,0
2007-07,435.0,0,0,0,0
2007-06,444.0,0,0,0,0
2007-05,482.0,0,0,0,0
2007-04,396.0,0,0,0,0
2007-03,293.0,0,0,0,0
2007-02,217.0,0,0,0,0
2007-01,218.0,0,0,0,0
2008-12,230.0,0,0,0,0
2008-11,281.0,0,0,0,0
2008-10,373.0,0,0,0,0
2008-09,360.0,0,0,0,0
2008-08,402.0,0,0,0,0
2008-07,459.0,0,0,0,0
2008-06,424.0,0,0,0,0
2008-05,445.0,0,0,0,0
2008-04,315.0,0,0,0,0
2008-03,210.0,0,0,0,0
2008-02,279.0,0,0,0,0
2008-01,260.0,0,0,0,0
2009-12,312.0,0,0,0,0
2009-11,312.0,0,0,0,0
2009-10,360.0,0,0,0,0
2009-09,388.0,0,0,0,0
2009-08,376.0,0,0,0,0
2009-07,476.0,0,0,0,0
2009-06,371.0,0,0,0,0
2009-05,454.0,0,0,0,0
2009-04,357.0,0,0,0,0
2009-03,202.0,0,0,0,0
2009-02,273.0,0,0,0,0
2009-01,184.0,0,0,0,0
2010-12,223.0,0,0,0,0
2010-11,319.0,0,0,0,0
2010-10,432.0,0,0,0,0
2010-09,456.0,0,0,0,0
2010-08,416.0,0,0,0,0
2010-07,619.0,0,0,0,0
2010-06,440.0,0,0,0,0
2010-05,320.0,0,0,0,0
2010-04,377.0,0,0,0,0
2010-03,291.0,0,0,0,0
2010-02,200.0,0,0,0,0
2010-01,147.0,0,0,0,0
2011-12,315.0,0,0,0,0
2011-11,359.0,0,0,0,0
2011-10,393.0,0,0,0,0
2011-09,441.0,0,0,0,0
2011-08,402.0,0,0,0,0
2011-07,532.0,0,0,0,0
2011-06,399.0,0,0,0,0
2011-05,636.0,0,0,0,0
2011-04,505.0,0,0,0,0
2011-03,373.0,0,0,0,0
2011-02,264.0,0,0,0,0
2011-01,255.0,0,0,0,0
2012-12,248.0,0,0,0,0
2012-11,394.0,0,0,0,0
2012-10,477.0,0,0,0,0
2012-09,532.0,0,0,0,0
2012-08,545.0,0,0,0,0
2012-07,632.0,0,0,0,0
2012-06,577.0,0,0,0,0
2012-05,596.0,0,0,0,0
2012-04,394.0,0,0,0,0
2012-03,424.0,0,0,0,0
2012-02,233.0,0,0,0,0
2012-01,273.0,0,0,0,0
2013-12,356.0,0,0,0,0
2013-11,388.0,0,0,0,0
2013-10,510.0,0,0,0,0
2013-09,531.0,0,0,0,0
2013-08,514.0,0,0,0,0
2013-07,812.0,0,0,0,0
2013-06,580.0,0,0,0,0
2013-05,454.0,0,0,0,0
2013-04,440.0,0,0,0,0
2013-03,284.0,0,0,0,0
2013-02,263.0,0,0,0,0
2013-01,254.0,0,0,0,0
2014-12,331.0,0,0,0,0
2014-11,401.0,0,0,0,0
2014-10,529.0,0,0,0,0
2014-09,534.0,0,0,0,0
2014-08,432.0,0,0,0,0
2014-07,654.0,0,0,0,0
2014-06,558.0,0,0,0,0
2014-05,536.0,0,0,0,0
2014-04,455.0,0,0,0,0
2014-03,460.0,0,0,0,0
2014-02,309.0,0,0,0,0
2014-01,324.0,0,0,0,0
2015-12,384.0,0,0,0,0
2015-11,430.0,0,0,0,0
2015-10,475.0,0,0,0,0
2015-09,509.0,0,0,0,0
2015-08,481.0,0,0,0,0
2015-07,708.0,0,0,0,0
2015-06,560.0,0,0,0,0
2015-05,487.0,0,0,0,0
2015-04,495.0,0,0,0,0
2015-03,376.0,0,0,0,0
2015-02,262.0,0,0,0,0
2015-01,263.0,0,0,0,0
2016-12,317.0,0,0,0,0
2016-11,402.0,0,0,0,0
2016-10,448.0,0,0,0,0
2016-09,627.0,0,0,0,0
2016-08,469.0,0,0,0,0
2016-07,623.0,0,0,0,0
2016-06,592.0,0,0,0,0
2016-05,502.0,0,0,0,0
2016-04,447.0,0,0,0,0
2016-03,299.0,0,0,0,0
2016-02,305.0,0,0,0,0
2016-01,298.0,0,0,0,0
2017-12,307.0,0,0,0,0
2017-11,373.0,0,0,0,0
2017-10,490.0,0,0,0,0
2017-09,430.0,0,0,0,0
2017-08,447.0,0,0,0,0
2017-07,611.0,0,0,0,0
2017-06,568.0,0,0,0,0
2017-05,545.0,0,0,0,0
2017-04,365.0,0,0,0,0
2017-03,407.0,0,0,0,0
2017-02,277.0,0,0,0,0
2017-01,242.0,0,0,0,0
2018-12,282.0,0,0,0,0
2018-11,407.0,0,0,0,0
2018-10,529.0,0,0,0,0
2018-09,528.0,0,0,0,0
2018-08,456.0,0,0,0,0
2018-07,714.0,0,0,0,0
2018-06,622.0,0,0,0,0
2018-05,528.0,0,0,0,0
2018-04,519.0,0,0,0,0
2018-03,331.0,0,0,0,0
2018-02,265.0,0,0,0,0
2018-01,290.0,0,0,0,0
2019-12,326.0,0,0,0,0
2019-11,383.0,0,0,0,0
2019-10,500.0,0,0,0,0
2019-09,533.0,0,0,0,0
2019-08,451.0,0,0,0,0
2019-07,762.0,0,0,0,0
2019-06,615.0,0,0,0,0
2019-05,416.0,0,0,0,0
2019-04,426.0,0,0,0,0
2019-03,369.0,0,0,0,0
2019-02,289.0,0,0,0,0
2019-01,243.0,0,0,0,0
2020-12,270.0,0,0,0,0
2020-11,297.0,0,0,0,0
2020-10,489.0,0,0,0,0
2020-09,555.0,0,0,0,0
2020-08,487.0,0,0,0,0
2020-07,717.0,0,0,0,0
2020-06,496.0,0,0,0,0
2020-05,416.0,0,0,0,0
2020-04,314.0,0,0,0,0
2020-03,270.0,0,0,0,0
2020-02,306.0,0,0,0,0
2020-01,301.0,0,0,0,0
2000-12,3789.0,0,0,0,1
2000-11,3931.0,0,0,0,1
2000-10,4117.0,0,0,0,1
2000-09,3807.0,0,0,0,1
2000-08,3387.0,0,0,0,1
2000-07,4282.0,0,0,0,1
2000-06,3329.0,0,0,0,1
2000-05,4123.0,0,0,0,1
2000-04,3317.0,0,0,0,1
2000-03,3783.0,0,0,0,1
2000-02,3181.0,0,0,0,1
2000-01,3448.0,0,0,0,1
2001-12,3989.0,0,0,0,1
2001-11,4022.0,0,0,0,1
2001-10,4250.0,0,0,0,1
2001-09,3939.0,0,0,0,1
2001-08,3351.0,0,0,0,1
2001-07,4288.0,0,0,0,1
2001-06,3715.0,0,0,0,1
2001-05,4128.0,0,0,0,1
2001-04,3565.0,0,0,0,1
2001-03,3970.0,0,0,0,1
2001-02,3148.0,0,0,0,1
2001-01,3348.0,0,0,0,1
2002-12,3023.0,0,0,0,1
2002-11,3529.0,0,0,0,1
2002-10,3859.0,0,0,0,1
2002-09,3436.0,0,0,0,1
2002-08,3007.0,0,0,0,1
2002-07,3960.0,0,0,0,1
2002-06,3586.0,0,0,0,1
2002-05,3731.0,0,0,0,1
2002-04,3142.0,0,0,0,1
2002-03,3380.0,0,0,0,1
2002-02,2892.0,0,0,0,1
2002-01,3063.0,0,0,0,1
2003-12,3527.0,0,0,0,1
2003-11,3325.0,0,0,0,1
2003-10,3631.0,0,0,0,1
2003-09,3393.0,0,0,0,1
2003-08,2837.0,0,0,0,1
2003-07,3321.0,0,0,0,1
2003-06,3139.0,0,0,0,1
2003-05,3255.0,0,0,0,1
2003-04,3106.0,0,0,0,1
2003-03,3060.0,0,0,0,1
2003-02,2968.0,0,0,0,1
2003-01,3073.0,0,0,0,1
2004-12,3792.0,0,0,0,1
2004-11,3449.0,0,0,0,1
2004-10,3716.0,0,0,0,1
2004-09,3663.0,0,0,0,1
2004-08,2926.0,0,0,0,1
2004-07,3760.0,0,0,0,1
2004-06,3229.0,0,0,0,1
2004-05,3378.0,0,0,0,1
2004-04,3183.0,0,0,0,1
2004-03,3271.0,0,0,0,1
2004-02,2728.0,0,0,0,1
2004-01,2969.0,0,0,0,1
2005-12,3549.0,0,0,0,1
2005-11,3205.0,0,0,0,1
2005-10,3503.0,0,0,0,1
2005-09,3921.0,0,0,0,1
2005-08,2965.0,0,0,0,1
2005-07,3631.0,0,0,0,1
2005-06,3499.0,0,0,0,1
2005-05,3321.0,0,0,0,1
2005-04,3320.0,0,0,0,1
2005-03,3560.0,0,0,0,1
2005-02,3461.0,0,0,0,1
2005-01,2788.0,0,0,0,1
2006-12,3419.0,0,0,0,1
2006-11,3073.0,0,0,0,1
2006-10,3286.0,0,0,0,1
2006-09,3233.0,0,0,0,1
2006-08,2993.0,0,0,0,1
2006-07,3611.0,0,0,0,1
2006-06,2853.0,0,0,0,1
2006-05,3032.0,0,0,0,1
2006-04,2874.0,0,0,0,1
2006-03,4165.0,0,0,0,1
2006-02,2901.0,0,0,0,1
2006-01,2893.0,0,0,0,1
2007-12,3184.0,0,0,0,1
2007-11,3444.0,0,0,0,1
2007-10,3695.0,0,0,0,1
2007-09,3414.0,0,0,0,1
2007-08,2943.0,0,0,0,1
2007-07,3622.0,0,0,0,1
2007-06,3225.0,0,0,0,1
2007-05,3529.0,0,0,0,1
2007-04,3292.0,0,0,0,1
2007-03,2836.0,0,0,0,1
2007-02,2643.0,0,0,0,1
2007-01,2735.0,0,0,0,1
2008-12,2888.0,0,0,0,1
2008-11,2983.0,0,0,0,1
2008-10,3683.0,0,0,0,1
2008-09,3271.0,0,0,0,1
2008-08,2870.0,0,0,0,1
2008-07,3500.0,0,0,0,1
2008-06,3374.0,0,0,0,1
2008-05,3428.0,0,0,0,1
2008-04,3339.0,0,0,0,1
2008-03,2910.0,0,0,0,1
2008-02,3171.0,0,0,0,1
2008-01,2945.0,0,0,0,1
2009-12,3202.0,0,0,0,1
2009-11,3294.0,0,0,0,1
2009-10,3567.0,0,0,0,1
2009-09,3252.0,0,0,0,1
2009-08,2749.0,0,0,0,1
2009-07,3622.0,0,0,0,1
2009-06,2876.0,0,0,0,1
2009-05,3240.0,0,0,0,1
2009-04,2953.0,0,0,0,1
2009-03,2744.0,0,0,0,1
2009-02,3480.0,0,0,0,1
2009-01,2482.0,0,0,0,1
2010-12,3413.0,0,0,0,1
2010-11,3329.0,0,0,0,1
2010-10,3500.0,0,0,0,1
2010-09,3524.0,0,0,0,1
2010-08,2843.0,0,0,0,1
2010-07,3712.0,0,0,0,1
2010-06,3193.0,0,0,0,1
2010-05,2974.0,0,0,0,1
2010-04,3202.0,0,0,0,1
2010-03,3309.0,0,0,0,1
2010-02,2539.0,0,0,0,1
2010-01,2346.0,0,0,0,1
2011-12,3506.0,0,0,0,1
2011-11,3567.0,0,0,0,1
2011-10,3830.0,0,0,0,1
2011-09,3730.0,0,0,0,1
2011-08,3322.0,0,0,0,1
2011-07,4074.0,0,0,0,1
2011-06,3212.0,0,0,0,1
2011-05,4143.0,0,0,0,1
2011-04,3529.0,0,0,0,1
2011-03,3523.0,0,0,0,1
2011-02,2903.0,0,0,0,1
2011-01,2775.0,0,0,0,1
2012-12,3395.0,0,0,0,1
2012-11,3839.0,0,0,0,1
2012-10,4146.0,0,0,0,1
2012-09,3962.0,0,0,0,1
2012-08,3452.0,0,0,0,1
2012-07,4281.0,0,0,0,1
2012-06,4018.0,0,0,0,1
2012-05,4114.0,0,0,0,1
2012-04,3667.0,0,0,0,1
2012-03,3739.0,0,0,0,1
2012-02,3102.0,0,0,0,1
2012-01,3176.0,0,0,0,1
2013-12,3764.0,0,0,0,1
2013-11,4043.0,0,0,0,1
2013-10,4533.0,0,0,0,1
2013-09,4130.0,0,0,0,1
2013-08,3387.0,0,0,0,1
2013-07,4641.0,0,0,0,1
2013-06,4284.0,0,0,0,1
2013-05,3703.0,0,0,0,1
2013-04,4008.0,0,0,0,1
2013-03,3712.0,0,0,0,1
2013-02,3467.0,0,0,0,1
2013-01,3316.0,0,0,0,1
2014-12,3919.0,0,0,0,1
2014-11,3904.0,0,0,0,1
2014-10,4251.0,0,0,0,1
2014-09,4137.0,0,0,0,1
2014-08,3379.0,0,0,0,1
2014-07,4443.0,0,0,0,1
2014-06,3833.0,0,0,0,1
2014-05,4346.0,0,0,0,1
2014-04,3840.0,0,0,0,1
2014-03,4027.0,0,0,0,1
2014-02,3315.0,0,0,0,1
2014-01,3410.0,0,0,0,1
2015-12,3862.0,0,0,0,1
2015-11,3992.0,0,0,0,1
2015-10,4467.0,0,0,0,1
2015-09,4015.0,0,0,0,1
2015-08,3431.0,0,0,0,1
2015-07,4729.0,0,0,0,1
2015-06,3898.0,0,0,0,1
2015-05,3915.0,0,0,0,1
2015-04,4022.0,0,0,0,1
2015-03,3888.0,0,0,0,1
2015-02,3090.0,0,0,0,1
2015-01,3326.0,0,0,0,1
2016-12,3700.0,0,0,0,1
2016-11,3998.0,0,0,0,1
2016-10,4297.0,0,0,0,1
2016-09,4289.0,0,0,0,1
2016-08,3400.0,0,0,0,1
2016-07,4478.0,0,0,0,1
2016-06,4260.0,0,0,0,1
2016-05,3833.0,0,0,0,1
2016-04,4209.0,0,0,0,1
2016-03,3653.0,0,0,0,1
2016-02,3383.0,0,0,0,1
2016-01,3297.0,0,0,0,1
2017-12,3494.0,0,0,0,1
2017-11,3809.0,0,0,0,1
2017-10,4198.0,0,0,0,1
2017-09,4017.0,0,0,0,1
2017-08,3267.0,0,0,0,1
2017-07,4355.0,0,0,0,1
2017-06,3818.0,0,0,0,1
2017-05,4314.0,0,0,0,1
2017-04,3533.0,0,0,0,1
2017-03,4106.0,0,0,0,1
2017-02,3223.0,0,0,0,1
2017-01,3320.0,0,0,0,1
2018-12,3550.0,0,0,0,1
2018-11,4027.0,0,0,0,1
2018-10,4468.0,0,0,0,1
2018-09,4124.0,0,0,0,1
2018-08,3206.0,0,0,0,1
2018-07,4547.0,0,0,0,1
2018-06,4284.0,0,0,0,1
2018-05,3953.0,0,0,0,1
2018-04,4016.0,0,0,0,1
2018-03,3796.0,0,0,0,1
2018-02,3109.0,0,0,0,1
2018-01,3328.0,0,0,0,1
2019-12,3462.0,0,0,0,1
2019-11,3805.0,0,0,0,1
2019-10,4348.0,0,0,0,1
2019-09,4042.0,0,0,0,1
2019-08,3214.0,0,0,0,1
2019-07,4763.0,0,0,0,1
2019-06,3727.0,0,0,0,1
2019-05,4046.0,0,0,0,1
2019-04,3781.0,0,0,0,1
2019-03,3940.0,0,0,0,1
2019-02,3442.0,0,0,0,1
2019-01,3440.0,0,0,0,1
2020-12,2661.0,0,0,0,1
2020-11,3150.0,0,0,0,1
2020-10,3867.0,0,0,0,1
2020-09,3659.0,0,0,0,1
2020-08,3007.0,0,0,0,1
2020-07,4031.0,0,0,0,1
2020-06,3380.0,0,0,0,1
2020-05,3193.0,0,0,0,1
2020-04,2251.0,0,0,0,1
2020-03,2825.0,0,0,0,1
2020-02,3271.0,0,0,0,1
2020-01,3139.0,0,0,0,1
2000-12,45.0,0,1,1,0
2000-11,56.0,0,1,1,0
2000-10,47.0,0,1,1,0
2000-09,68.0,0,1,1,0
2000-08,74.0,0,1,1,0
2000-07,67.0,0,1,1,0
2000-06,58.0,0,1,1,0
2000-05,69.0,0,1,1,0
2000-04,57.0,0,1,1,0
2000-03,48.0,0,1,1,0
2000-02,35.0,0,1,1,0
2000-01,34.0,0,1,1,0
2001-12,39.0,0,1,1,0
2001-11,32.0,0,1,1,0
2001-10,85.0,0,1,1,0
2001-09,40.0,0,1,1,0
2001-08,57.0,0,1,1,0
2001-07,83.0,0,1,1,0
2001-06,78.0,0,1,1,0
2001-05,67.0,0,1,1,0
2001-04,68.0,0,1,1,0
2001-03,43.0,0,1,1,0
2001-02,51.0,0,1,1,0
2001-01,44.0,0,1,1,0
2002-12,38.0,0,1,1,0
2002-11,50.0,0,1,1,0
2002-10,49.0,0,1,1,0
2002-09,77.0,0,1,1,0
2002-08,50.0,0,1,1,0
2002-07,72.0,0,1,1,0
2002-06,74.0,0,1,1,0
2002-05,73.0,0,1,1,0
2002-04,37.0,0,1,1,0
2002-03,39.0,0,1,1,0
2002-02,33.0,0,1,1,0
2002-01,36.0,0,1,1,0
2003-12,78.0,0,1,1,0
2003-11,59.0,0,1,1,0
2003-10,47.0,0,1,1,0
2003-09,50.0,0,1,1,0
2003-08,41.0,0,1,1,0
2003-07,35.0,0,1,1,0
2003-06,81.0,0,1,1,0
2003-05,56.0,0,1,1,0
2003-04,30.0,0,1,1,0
2003-03,44.0,0,1,1,0
